,Unnamed: 0,BRAND,CATEGORY,A ending?,"Plosive ending? (p,b,t,d,k,g)","Sonorant ending? (m,n,ng,l,r)","Fricative ending? (f,v,th,s,z,sh,ch,dge)","1st letter fricative? (f,v,th,s,z,sh,ch,j)","Total # of sonorants (m,n,l,r,w,y)","Total # of vowels (a, e, i, o, u)","1st letter plosive? (p,b,t,d,k,g)","Total # of plosives  (p,b,t,d,k,g)","VowelEnding? (a, e, i, o, u,y)",# of letters,"# of fricatives (f,v,th,s,z,sh,ch,j)","1st letter vowel? (a, e, i, o, u)","1st letter sonorant? (m,n,l,r,w,y)",Front Vowels,Back Vowels
32,119,leatt,A141 Sportswear & Athleticwear,0,1,0,0,0,1,2,0,2,0,5,0,0,1,1,0
2051,26698,lectus,H122 Mattresses & Box Springs,0,0,0,1,0,1,2,0,1,0,6,1,0,1,1,1
116,478,lee,A141 Sportswear & Athleticwear,0,0,0,0,0,1,2,0,0,1,3,0,0,1,1,0
2052,26699,leesa,H122 Mattresses & Box Springs,1,0,0,0,0,1,3,0,0,1,5,1,0,1,1,0
2433,30107,legoland,"T440 Amusement, Water & Theme Parks",0,1,0,0,0,3,3,0,2,0,8,0,0,1,1,1
749,15941,leibinger,B521 Printers & Printing Accessories,0,0,1,0,0,3,4,0,2,0,9,0,0,1,3,0
1678,24522,leinenkugels,F611 Regular Beer & Ale,0,0,0,1,0,4,5,0,2,0,12,1,0,1,3,1
523,5729,lenda,B124 Loan/Credit Products & Services (Consumer),1,0,0,0,0,2,2,0,1,1,5,0,0,1,1,0
524,5731,lendaid,B124 Loan/Credit Products & Services (Consumer),0,1,0,0,0,2,3,0,2,0,7,0,0,1,2,0
580,8264,lenderfi,B124 Loan/Credit Products & Services (Consumer),0,0,0,0,0,3,3,0,1,1,8,1,0,1,3,0
581,8266,lendify,B124 Loan/Credit Products & Services (Consumer),0,0,0,0,0,3,2,0,1,1,7,1,0,1,3,0
552,7547,lendingusa,B124 Loan/Credit Products & Services (Consumer),1,0,0,0,0,3,4,0,2,1,10,1,0,1,2,1
582,8274,lendkey,B124 Loan/Credit Products & Services (Consumer),0,0,0,0,0,3,2,0,2,1,7,0,0,1,3,0
1993,26548,lenox,"H111 Dinnerware, Glassware & Pottery",0,0,0,0,0,2,2,0,0,0,5,0,0,1,1,1
1643,24374,lesserevil,"F539 Chips, Nuts, Popcorn & Pretzels General Promotion",0,0,1,0,0,3,4,0,0,0,10,3,0,1,4,0
117,479,levelwear,A141 Sportswear & Athleticwear,0,0,1,0,0,4,4,0,0,0,9,1,0,1,3,0
583,8278,leveragerx,B124 Loan/Credit Products & Services (Consumer),0,0,0,0,0,3,4,0,1,0,10,1,0,1,3,0
118,481,levis,A141 Sportswear & Athleticwear,0,0,0,1,0,1,2,0,0,0,5,2,0,1,2,0
1852,25816,lews,G411 Fishing Tackle & Equipment,0,0,0,1,0,2,1,0,0,0,4,1,0,1,1,0
2167,27029,lg,H213 Laundry Equipment,0,1,0,0,0,1,0,0,1,0,2,0,0,1,0,0
1994,26555,libbey,"H111 Dinnerware, Glassware & Pottery",0,0,0,0,0,2,2,0,2,1,6,0,0,1,3,0
1300,23053,libimax,D543 Nutritional Supplements,0,0,0,0,0,2,3,0,1,0,7,0,0,1,2,0
1729,24857,lidcam,G141 Cameras (Excl Video),0,0,1,0,0,2,2,0,1,0,6,0,0,1,1,0
2124,26897,liddell,H142 Bedding & Linens,0,0,1,0,0,3,2,0,2,0,7,0,0,1,2,0
1301,23056,lifeseasons,D543 Nutritional Supplements,0,0,0,1,0,2,5,0,0,0,11,4,0,1,3,1
2275,27391,lifeshield,H625 Security & Fire Safety Systems,0,1,0,0,0,2,4,0,1,0,10,2,0,1,3,0
33,121,liftatics,A141 Sportswear & Athleticwear,0,0,0,1,0,1,3,0,2,0,9,2,0,1,2,0
2276,27393,liftmaster,H625 Security & Fire Safety Systems,0,0,1,0,0,3,3,0,2,0,10,2,0,1,2,0
553,7551,lightstream,B124 Loan/Credit Products & Services (Consumer),0,0,1,0,0,3,3,0,3,0,11,1,0,1,2,0
2125,26899,lilipi,H142 Bedding & Linens,0,0,0,0,0,2,3,0,1,1,6,0,0,1,3,0
1302,23057,limitless,D543 Nutritional Supplements,0,0,0,1,0,3,3,0,1,0,9,2,0,1,3,0
378,2478,lindbergh,B111 Credit Cards,0,0,0,0,0,3,2,0,3,0,9,0,0,1,2,0
1561,24038,lindys,"F313 Ice Cream, Frozen Novelties & Sherbet",0,0,0,1,0,3,1,0,1,0,6,1,0,1,1,0
1775,25176,lins,G323 Casual Dining Restaurants,0,0,0,1,0,2,1,0,0,0,4,1,0,1,1,0
863,19282,linx,"B651 Advertising, Marketing & Printing Svcs",0,0,0,0,0,2,1,0,0,0,4,0,0,1,1,0
1891,25965,liod,"G451 Snow Skis, Boards, Blades & Accessories",0,1,0,0,0,1,2,0,1,0,4,0,0,1,1,1
1303,23061,liquidblue,D543 Nutritional Supplements,0,0,0,0,0,2,5,0,2,1,10,0,0,1,3,2
402,2907,liquidnet,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,2,4,0,2,0,9,0,0,1,3,1
34,122,liquido,A141 Sportswear & Athleticwear,0,0,0,0,0,1,4,0,1,1,7,0,0,1,2,2
2368,27716,liquitex,H631 Paint,0,0,0,0,0,1,4,0,1,0,8,0,0,1,3,1
864,19291,liveintent,"B651 Advertising, Marketing & Printing Svcs",0,1,0,0,0,3,4,0,2,0,10,1,0,1,3,0
1304,23062,liverite,D543 Nutritional Supplements,0,0,0,0,0,2,4,0,1,1,8,1,0,1,4,0
1853,25818,livetarget,G411 Fishing Tackle & Equipment,0,1,0,0,0,2,4,0,3,0,10,1,0,1,3,0
1995,26557,livliga,"H111 Dinnerware, Glassware & Pottery",1,0,0,0,0,2,3,0,1,1,7,1,0,1,2,0
498,4583,ljpr,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,2,0,0,1,0,4,1,0,1,0,0
1580,24100,loacker,F343 Cookies & Crackers,0,0,1,0,0,2,3,0,1,0,7,0,0,1,1,1
554,7557,loanback,B124 Loan/Credit Products & Services (Consumer),0,1,0,0,0,2,3,0,2,0,8,0,0,1,0,1
555,7560,loanme,B124 Loan/Credit Products & Services (Consumer),0,0,0,0,0,3,3,0,0,1,6,0,0,1,1,1
525,5752,loanpal,B124 Loan/Credit Products & Services (Consumer),0,0,1,0,0,3,3,0,1,0,7,0,0,1,0,1
865,19305,locbox,"B651 Advertising, Marketing & Printing Svcs",0,0,0,0,0,1,2,0,1,0,6,0,0,1,0,2
990,20800,lockhart,"B722 Stationery,Greeting Cards&Misc Paper Gds",0,1,0,0,0,2,2,0,2,0,8,0,0,1,0,1
283,1398,loewe,A411 Handbags,0,0,0,0,0,2,3,0,0,1,5,0,0,1,2,1
796,16824,logo,"B641 TV Networks, Stations & Production Cos",0,0,0,0,0,1,2,0,1,1,4,0,0,1,0,2
2448,33185,logobrands,V365 Sporting Goods Stores,0,0,0,1,0,3,3,0,3,0,10,1,0,1,0,2
284,1399,longchamp,A411 Handbags,0,1,0,0,0,3,2,0,2,0,9,1,0,1,0,1
689,11661,lovelikedawson,"B322 Religious, Charitable & Humanitarian",0,0,1,0,0,4,6,0,2,0,14,2,0,1,3,2
970,20724,lovepop,"B722 Stationery,Greeting Cards&Misc Paper Gds",0,1,0,0,0,1,3,0,2,0,7,1,0,1,1,2
526,5762,lowratesshop,B124 Loan/Credit Products & Services (Consumer),0,1,0,0,0,3,4,0,2,0,12,2,0,1,1,2
556,7562,lowvarates,B124 Loan/Credit Products & Services (Consumer),0,0,0,1,0,3,4,0,1,0,10,2,0,1,1,1
365,2411,lsc,B111 Credit Cards,0,0,0,0,0,1,0,0,0,0,3,1,0,1,0,0
189,834,lucchese,A311 Womens Shoes & Boots,0,0,0,0,0,1,3,0,0,1,8,2,0,1,2,1
2053,26703,lucid,H122 Mattresses & Box Springs,0,1,0,0,0,1,2,0,1,0,5,0,0,1,1,1
2054,26704,luft,H122 Mattresses & Box Springs,0,1,0,0,0,1,1,0,1,0,4,1,0,1,0,1
2055,26705,lulaabed,H122 Mattresses & Box Springs,0,1,0,0,0,2,4,0,2,0,8,0,0,1,1,1
2056,26706,lull,H122 Mattresses & Box Springs,0,0,1,0,0,3,1,0,0,0,4,0,0,1,0,1
35,128,lululemon,A141 Sportswear & Athleticwear,0,0,1,0,0,5,4,0,0,0,9,0,0,1,1,3
1730,24861,lumenera,G141 Cameras (Excl Video),1,0,0,0,0,4,4,0,0,1,8,0,0,1,2,1
1305,23067,lumiday,D543 Nutritional Supplements,0,0,0,0,0,3,3,0,1,1,7,0,0,1,2,1
1996,26561,luminarc,"H111 Dinnerware, Glassware & Pottery",0,0,0,0,0,4,3,0,0,0,8,0,0,1,1,1
1073,21945,luminesce,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",0,0,0,0,0,3,4,0,0,1,9,1,0,1,3,1
1192,22600,luna,D543 Nutritional Supplements,1,0,0,0,0,2,2,0,0,1,4,0,0,1,0,1
1434,23653,lupavita,D543 Nutritional Supplements,1,0,0,0,0,1,4,0,2,1,8,1,0,1,1,1
2277,27398,lutron,H625 Security & Fire Safety Systems,0,0,1,0,0,3,2,0,1,0,6,0,0,1,0,2
1973,26454,luvsome,G613 Cat & Dog Food Combination,0,0,0,0,0,2,3,0,0,1,7,2,0,1,1,2
2057,26709,luxi,H122 Mattresses & Box Springs,0,0,0,0,0,1,2,0,0,1,4,0,0,1,1,1
325,1543,luxottica,A430 Sunglasses,1,0,0,0,0,1,4,0,2,1,9,0,0,1,1,2
1306,23071,lysulin,D543 Nutritional Supplements,0,0,1,0,0,4,2,0,0,0,7,1,0,1,1,1
352,1974,macerich,B111 Credit Cards,0,0,0,1,0,2,3,0,0,0,8,1,0,1,2,0
1917,26030,macpac,G499 Sporting Goods General Promotion,0,0,0,0,0,1,2,0,1,0,6,0,0,1,0,0
1307,23074,macuhealth,D543 Nutritional Supplements,0,0,0,1,0,2,4,0,1,0,10,1,0,1,1,1
1700,24667,maeloc,F611 Regular Beer & Ale,0,0,0,0,0,2,3,0,0,0,6,0,0,1,1,1
2340,27611,maglocks,H625 Security & Fire Safety Systems,0,0,0,1,0,2,2,0,2,0,8,1,0,1,0,1
2058,26711,magniflex,H122 Mattresses & Box Springs,0,0,0,0,0,3,3,0,1,0,9,1,0,1,2,0
1308,23077,magnilife,D543 Nutritional Supplements,0,0,0,0,0,3,4,0,1,1,9,1,0,1,3,0
1539,23987,magnum,"F313 Ice Cream, Frozen Novelties & Sherbet",0,0,1,0,0,3,2,0,1,0,6,0,0,1,0,1
2449,33210,mahoneys,V365 Sporting Goods Stores,0,0,0,1,0,3,3,0,0,0,8,1,0,1,1,1
866,19346,maingate,"B651 Advertising, Marketing & Printing Svcs",0,0,0,0,0,2,4,0,2,1,8,0,0,1,2,0
2126,26907,malouf,H142 Bedding & Linens,0,0,0,1,0,2,3,0,0,0,6,1,0,1,0,1
1462,23775,maltrin,F113 Artificial Sweeteners,0,0,1,0,0,4,2,0,1,0,7,0,0,1,1,0
1918,26031,mammut,G499 Sporting Goods General Promotion,0,1,0,0,0,3,2,0,1,0,6,0,0,1,0,1
1074,21947,mamonde,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",0,0,0,0,0,3,3,0,1,1,7,0,0,1,1,1
2380,27773,manac,"T139 Vehicles, Sales & Leasing: Comb Copy&NEC",0,0,0,0,0,2,2,0,0,0,5,0,0,1,0,0
1919,26032,manduka,G499 Sporting Goods General Promotion,1,0,0,0,0,2,3,0,2,1,7,0,0,1,0,1
285,1409,mango,A411 Handbags,0,0,0,0,0,2,2,0,1,1,5,0,0,1,0,1
1920,26034,manitou,G499 Sporting Goods General Promotion,0,0,0,0,0,2,4,0,1,1,7,0,0,1,1,1
190,837,mara,A311 Womens Shoes & Boots,1,0,0,0,0,2,2,0,0,1,4,0,0,1,0,0
1514,23910,maranatha,F280 Peanut Butter & Sandwich Spreads,1,0,0,0,0,3,4,0,1,1,9,1,0,1,0,0
867,19359,marco,"B651 Advertising, Marketing & Printing Svcs",0,0,0,0,0,2,2,0,0,1,5,0,0,1,0,1
1492,23852,marconi,F122 Cooking Oils,0,0,0,0,0,3,3,0,0,1,7,0,0,1,1,1
991,20804,marel,"B722 Stationery,Greeting Cards&Misc Paper Gds",0,0,1,0,0,3,2,0,0,0,5,0,0,1,1,0
1581,24102,marinela,F343 Cookies & Crackers,1,0,0,0,0,4,4,0,0,1,8,0,0,1,2,0
1598,24170,mariner,F343 Cookies & Crackers,0,0,1,0,0,4,3,0,0,0,7,0,0,1,2,0
435,3428,marketaxess,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,0,2,4,0,2,0,11,2,0,1,2,0
868,19378,marketinglab,"B651 Advertising, Marketing & Printing Svcs",0,1,0,0,0,4,4,0,4,0,12,0,0,1,2,0
738,15902,markforged,B521 Printers & Printing Accessories,0,1,0,0,0,3,3,0,3,0,10,1,0,1,1,1
1612,24260,marley,F411 Coffee,0,0,0,0,0,4,2,0,0,1,6,0,0,1,2,0
1921,26035,marmot,G499 Sporting Goods General Promotion,0,1,0,0,0,3,2,0,1,0,6,0,0,1,0,1
2059,26712,marpac,H122 Mattresses & Box Springs,0,0,0,0,0,2,2,0,1,0,6,0,0,1,0,0
366,2413,marqeta,B111 Credit Cards,1,0,0,0,0,2,3,0,1,1,7,0,0,1,1,0
971,20725,marrygrams,"B722 Stationery,Greeting Cards&Misc Paper Gds",0,0,0,1,0,6,2,0,1,0,10,1,0,1,0,0
1634,24348,mars,F519 Candy & Mints General Promotion,0,0,0,1,0,2,1,0,0,0,4,1,0,1,0,0
403,2912,marsico,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,2,3,0,0,1,7,1,0,1,1,1
1024,21400,marten,B913 Employment Agencies,0,0,1,0,0,3,2,0,1,0,6,0,0,1,1,0
426,3295,massmutual,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,3,4,0,1,0,10,2,0,1,0,2
353,1975,mastercard,B111 Credit Cards,0,1,0,0,0,3,3,0,2,0,10,1,0,1,1,0
1751,25001,mastros,G323 Casual Dining Restaurants,0,0,0,1,0,2,2,0,1,0,7,2,0,1,0,1
2278,27403,matjack,H625 Security & Fire Safety Systems,0,1,0,0,0,1,2,0,2,0,7,1,0,1,0,0
2450,33228,mauisails,V365 Sporting Goods Stores,0,0,0,1,0,2,5,0,0,0,9,2,0,1,2,1
2381,27775,maurer,"T139 Vehicles, Sales & Leasing: Comb Copy&NEC",0,0,1,0,0,3,3,0,0,0,6,0,0,1,1,1
36,131,mavic,A141 Sportswear & Athleticwear,0,0,0,0,0,1,2,0,0,0,5,1,0,1,1,0
1854,25831,maxima,G411 Fishing Tackle & Equipment,1,0,0,0,0,2,3,0,0,1,6,0,0,1,1,0
1309,23089,maxivision,D543 Nutritional Supplements,0,0,1,0,0,2,5,0,0,0,10,2,0,1,3,1
286,1414,maxmara,A411 Handbags,1,0,0,0,0,3,3,0,0,1,7,0,0,1,0,0
527,5781,maxwell,B124 Loan/Credit Products & Services (Consumer),0,0,1,0,0,4,2,0,0,0,7,0,0,1,1,0
1540,23988,mayfield,"F313 Ice Cream, Frozen Novelties & Sherbet",0,1,0,0,0,3,3,0,1,0,8,1,0,1,1,0
1758,25045,mayflower,G323 Casual Dining Restaurants,0,0,1,0,0,5,3,0,0,0,9,1,0,1,1,1
2168,27030,maytag,H213 Laundry Equipment,0,1,0,0,0,2,2,0,2,0,6,0,0,1,0,0
1493,23853,mazola,F122 Cooking Oils,1,0,0,0,0,2,3,0,0,1,6,1,0,1,0,1
1922,26036,mbs,G499 Sporting Goods General Promotion,0,0,0,1,0,1,0,0,1,0,3,1,0,1,0,0
1613,24265,mccafe,F411 Coffee,0,0,0,0,0,1,2,0,0,1,6,1,0,1,1,0
2279,27404,mcdermott,H625 Security & Fire Safety Systems,0,1,0,0,0,3,2,0,3,0,9,0,0,1,1,1
1614,24267,mcdonalds,F411 Coffee,0,0,0,1,0,3,2,0,2,0,9,1,0,1,0,1
2280,27405,mcgard,H625 Security & Fire Safety Systems,0,1,0,0,0,2,1,0,2,0,6,0,0,1,0,0
1494,23857,mclaughlin,F122 Cooking Oils,0,0,1,0,0,4,3,0,1,0,10,0,0,1,1,1
287,1416,mcm,A411 Handbags,0,0,1,0,0,2,0,0,0,0,3,0,0,1,0,0
1695,24640,mcmenamins,F611 Regular Beer & Ale,0,0,0,1,0,5,3,0,0,0,10,1,0,1,2,0
956,20682,meadows,B721 Office Furniture & Accessories,0,0,0,1,0,2,3,0,1,0,7,1,0,1,1,1
2127,26912,medcline,H142 Bedding & Linens,0,0,0,0,0,3,3,0,1,1,8,0,0,1,3,0
1075,21953,mederma,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",1,0,0,0,0,3,3,0,1,1,7,0,0,1,2,0
622,8991,mediacom,B225 Internet Service Providers (ISP),0,0,1,0,0,2,4,0,1,0,8,0,0,1,2,1
869,19425,mediamath,"B651 Advertising, Marketing & Printing Svcs",0,0,0,1,0,2,4,0,2,0,9,1,0,1,2,0
870,19430,mediastruction,"B651 Advertising, Marketing & Printing Svcs",0,0,1,0,0,3,6,0,3,0,14,1,0,1,3,2
707,14233,medicaresolutions,B430 Insurance Agencies & Brokers,0,0,0,1,0,4,8,0,2,0,17,2,0,1,4,3
1150,22438,medicasp,D322 Medicated Shampoos (Hair),0,1,0,0,0,1,3,0,2,0,8,1,0,1,2,0
1076,21954,mediheal,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",0,0,1,0,0,2,4,0,1,0,8,0,0,1,3,0
1644,24379,medora,"F539 Chips, Nuts, Popcorn & Pretzels General Promotion",1,0,0,0,0,2,3,0,1,1,6,0,0,1,1,1
2128,26913,medslant,H142 Bedding & Linens,0,1,0,0,0,3,2,0,2,0,8,1,0,1,1,0
557,7566,mefa,B124 Loan/Credit Products & Services (Consumer),1,0,0,0,0,1,2,0,0,1,4,1,0,1,1,0
1435,23656,megafood,D543 Nutritional Supplements,0,1,0,0,0,1,4,0,2,0,8,1,0,1,1,1
623,8995,megapath,B225 Internet Service Providers (ISP),0,0,0,1,0,1,3,0,3,0,8,1,0,1,1,0
191,839,melissa,A311 Womens Shoes & Boots,1,0,0,0,0,2,3,0,0,1,7,2,0,1,2,0
2129,26914,mellanni,H142 Bedding & Linens,0,0,0,0,0,5,3,0,0,1,8,0,0,1,2,0
1799,25397,mels,G323 Casual Dining Restaurants,0,0,0,1,0,2,1,0,0,0,4,1,0,1,1,0
1311,23095,mencareplus,D543 Nutritional Supplements,0,0,0,1,0,4,4,0,1,0,11,1,0,1,2,1
1436,23657,mentalbright,D543 Nutritional Supplements,0,1,0,0,0,4,3,0,4,0,12,0,0,1,2,0
1635,24349,mentos,F519 Candy & Mints General Promotion,0,0,0,1,0,2,2,0,1,0,6,1,0,1,1,1
232,1056,mephisto,A321 Sneakers,0,0,0,0,0,1,3,0,2,1,8,1,0,1,2,1
2410,27921,merengue,T412 Cruise Ship Travel,0,0,0,0,0,3,4,0,1,1,8,0,0,1,3,1
1025,21416,merlin,B913 Employment Agencies,0,0,1,0,0,4,2,0,0,0,6,0,0,1,2,0
233,1057,merrell,A321 Sneakers,0,0,1,0,0,5,2,0,0,0,7,0,0,1,2,0
2281,27408,meshare,H625 Security & Fire Safety Systems,0,0,0,0,0,2,3,0,0,1,7,1,0,1,2,0
1312,23096,mesomorph,D543 Nutritional Supplements,0,0,0,0,0,3,3,0,1,0,9,1,0,1,1,2
367,2416,metabank,B111 Credit Cards,0,1,0,0,0,2,3,0,3,0,8,0,0,1,1,0
423,3246,metlife,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,2,3,0,1,1,7,1,0,1,3,0
1800,25399,metro,G323 Casual Dining Restaurants,0,0,0,0,0,2,2,0,1,1,5,0,0,1,1,1
1495,23858,mezzetta,F122 Cooking Oils,1,0,0,0,0,1,3,0,2,1,8,2,0,1,2,0
584,8338,mgic,B124 Loan/Credit Products & Services (Consumer),0,0,0,0,0,1,1,0,1,0,4,0,0,1,1,0
1313,23098,mhp,D543 Nutritional Supplements,0,1,0,0,0,1,0,0,1,0,3,0,0,1,0,0
1679,24527,michelob,F611 Regular Beer & Ale,0,1,0,0,0,2,3,0,1,0,8,1,0,1,2,1
1698,24657,mickeys,F611 Regular Beer & Ale,0,0,0,1,0,2,2,0,1,0,7,1,0,1,2,0
2441,31925,microgame,V363 Toy Stores,0,0,0,0,0,3,4,0,1,1,9,0,0,1,2,1
1944,26237,microsoft,G511 Elec & Video Games & Sftwr (Excl PC&Net),0,1,0,0,0,2,3,0,1,0,9,2,0,1,1,2
37,133,mika,A141 Sportswear & Athleticwear,1,0,0,0,0,1,2,0,1,1,4,0,0,1,1,0
1997,26565,mikasa,"H111 Dinnerware, Glassware & Pottery",1,0,0,0,0,1,3,0,1,1,6,1,0,1,1,0
1314,23102,mila,D543 Nutritional Supplements,1,0,0,0,0,2,2,0,0,1,4,0,0,1,1,0
1582,24109,milano,F343 Cookies & Crackers,0,0,0,0,0,3,3,0,0,1,6,0,0,1,1,1
1801,25400,milestones,G323 Casual Dining Restaurants,0,0,0,1,0,3,4,0,1,0,10,2,0,1,3,1
1583,24110,milka,F343 Cookies & Crackers,1,0,0,0,0,2,2,0,1,1,5,0,0,1,1,0
1713,24711,miller,F611 Regular Beer & Ale,0,0,1,0,0,4,2,0,0,0,6,0,0,1,2,0
2169,27032,milnor,H213 Laundry Equipment,0,0,1,0,0,4,2,0,0,0,6,0,0,1,1,1
119,501,milwaukee,A141 Sportswear & Athleticwear,0,0,0,0,0,3,5,0,1,1,9,0,0,1,2,1
871,19468,mindshare,"B651 Advertising, Marketing & Printing Svcs",0,0,0,0,0,3,3,0,1,1,9,1,0,1,2,0
872,19469,mindspace,"B651 Advertising, Marketing & Printing Svcs",0,0,0,0,0,2,3,0,2,1,9,1,0,1,2,0
708,14280,minico,B430 Insurance Agencies & Brokers,0,0,0,0,0,2,3,0,0,1,6,0,0,1,2,1
873,19471,mintigo,"B651 Advertising, Marketing & Printing Svcs",0,0,0,0,0,2,3,0,2,1,7,0,0,1,2,1
2282,27409,mircom,H625 Security & Fire Safety Systems,0,0,1,0,0,3,2,0,0,0,6,0,0,1,1,1
1855,25833,mirrolures,G411 Fishing Tackle & Equipment,0,0,0,1,0,5,4,0,0,0,10,1,0,1,2,2
682,10217,missio,"B322 Religious, Charitable & Humanitarian",0,0,0,0,0,1,3,0,0,1,6,2,0,1,2,1
2446,32201,misterart,V364 Hobby & Craft Stores,0,1,0,0,0,3,3,0,2,0,9,1,0,1,2,0
1998,26566,miyako,"H111 Dinnerware, Glassware & Pottery",0,0,0,0,0,2,3,0,1,1,6,0,0,1,1,1
2130,26916,mlily,H142 Bedding & Linens,0,0,0,0,0,4,1,0,0,1,5,0,0,1,2,0
1315,23106,mmusa,D543 Nutritional Supplements,1,0,0,0,0,2,2,0,0,1,5,1,0,1,0,1
120,504,mnml,A141 Sportswear & Athleticwear,0,0,1,0,0,4,0,0,0,0,4,0,0,1,0,0
874,19487,mobilewalla,"B651 Advertising, Marketing & Printing Svcs",1,0,0,0,0,5,5,0,1,1,11,0,0,1,2,1
38,134,mobius,A141 Sportswear & Athleticwear,0,0,0,1,0,1,3,0,1,0,6,1,0,1,1,2
1316,23107,modere,D543 Nutritional Supplements,0,0,0,0,0,2,3,0,1,1,6,0,0,1,2,1
1317,23108,mojo,D543 Nutritional Supplements,0,0,0,0,0,1,2,0,0,1,4,1,0,1,0,2
797,16854,mom,"B641 TV Networks, Stations & Production Cos",0,0,1,0,0,2,1,0,0,0,3,0,0,1,0,1
39,135,mondor,A141 Sportswear & Athleticwear,0,0,1,0,0,3,2,0,1,0,6,0,0,1,0,2
875,19500,monetizemore,"B651 Advertising, Marketing & Printing Svcs",0,0,0,0,0,4,6,0,1,1,12,1,0,1,4,2
585,8361,moneycorp,B124 Loan/Credit Products & Services (Consumer),0,1,0,0,0,4,3,0,1,0,9,0,0,1,1,2
586,8362,moneytips,B124 Loan/Credit Products & Services (Consumer),0,0,0,1,0,3,3,0,2,0,9,1,0,1,2,1
1541,23991,montage,"F313 Ice Cream, Frozen Novelties & Sherbet",0,0,0,0,0,2,3,0,2,1,7,0,0,1,1,1
234,1061,montrail,A321 Sneakers,0,0,1,0,0,4,3,0,1,0,8,0,0,1,1,1
876,19503,moo,"B651 Advertising, Marketing & Printing Svcs",0,0,0,0,0,1,2,0,0,1,3,0,0,1,0,1
1437,23658,moringa,D543 Nutritional Supplements,1,0,0,0,0,3,3,0,1,1,7,0,0,1,1,1
404,2927,morningstar,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,5,3,0,2,0,11,1,0,1,1,1
2060,26714,morphiis,H122 Mattresses & Box Springs,0,0,0,1,0,2,3,0,1,0,8,1,0,1,2,1
528,5863,mortgageamerica,B124 Loan/Credit Products & Services (Consumer),1,0,0,0,0,4,7,0,3,1,15,0,0,1,3,1
529,5864,mortgageleads,B124 Loan/Credit Products & Services (Consumer),0,0,0,1,0,3,5,0,4,0,13,1,0,1,2,1
1759,25049,mos,G323 Casual Dining Restaurants,0,0,0,1,0,1,1,0,0,0,3,1,0,1,0,1
288,1426,moschino,A411 Handbags,0,0,0,0,0,2,3,0,0,1,8,2,0,1,1,2
1923,26037,moser,G499 Sporting Goods General Promotion,0,0,1,0,0,2,2,0,0,0,5,1,0,1,1,1
541,6692,motolease,B124 Loan/Credit Products & Services (Consumer),0,0,0,0,0,2,5,0,1,1,9,1,0,1,2,2
542,6693,motorefi,B124 Loan/Credit Products & Services (Consumer),0,0,0,0,0,2,4,0,1,1,8,1,0,1,2,2
1175,22543,motrin,D511 Pain Remedies,0,0,1,0,0,3,2,0,1,0,6,0,0,1,1,1
1999,26567,mottahedeh,"H111 Dinnerware, Glassware & Pottery",0,0,0,0,0,1,4,0,3,0,10,0,0,1,2,1
877,19518,movio,"B651 Advertising, Marketing & Printing Svcs",0,0,0,0,0,1,3,0,0,1,5,1,0,1,1,2
289,1427,moynat,A411 Handbags,0,1,0,0,0,3,2,0,1,0,6,0,0,1,0,1
1318,23115,mri,D543 Nutritional Supplements,0,0,0,0,0,2,1,0,0,1,3,0,0,1,1,0
2283,27416,msa,H625 Security & Fire Safety Systems,1,0,0,0,0,1,1,0,0,1,3,1,0,1,0,0
726,15819,msi,B511 Desktop Computers,0,0,0,0,0,1,1,0,0,1,3,1,0,1,1,0
40,140,mudgear,A141 Sportswear & Athleticwear,0,0,1,0,0,2,3,0,2,0,7,0,0,1,1,1
2000,26568,mugdom,"H111 Dinnerware, Glassware & Pottery",0,0,1,0,0,2,2,0,2,0,6,0,0,1,0,2
1109,22138,mugler,"D181 Women's Scents, Fragrances, Perfumes",0,0,1,0,0,3,2,0,1,0,6,0,0,1,1,1
878,19529,multiview,"B651 Advertising, Marketing & Printing Svcs",0,0,0,0,0,3,4,0,1,0,9,1,0,1,2,1
121,513,munsingwear,A141 Sportswear & Athleticwear,0,0,1,0,0,5,4,0,1,0,11,1,0,1,2,1
1438,23659,musclemeds,D543 Nutritional Supplements,0,0,0,1,0,3,3,0,1,0,10,2,0,1,2,1
1439,23660,musclepharm,D543 Nutritional Supplements,0,0,1,0,0,4,3,0,1,0,11,1,0,1,1,1
1319,23126,muscletech,D543 Nutritional Supplements,0,0,0,1,0,2,3,0,1,0,10,2,0,1,2,1
1856,25835,mustad,G411 Fishing Tackle & Equipment,0,1,0,0,0,1,2,0,2,0,6,1,0,1,0,1
624,8998,mweb,B225 Internet Service Providers (ISP),0,1,0,0,0,2,1,0,1,0,4,0,0,1,1,0
