Name,Category,Colour Scheme,Font ,Gender in Photos,Gender in Photos Ratio (M:F),Language (M or F First),Overall Prediction,Notes,URL,Date
eucerin,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:03,,,,https://www.eucerinus.com/,
dermalogica,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:08,,,,https://www.dermalogica.ca/on/demandware.store/Sites-dermalogica-ca-Site/en_CA/Home-Show,
shiseido,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:03,,,,https://www.shiseido.com/ca/en/,
elf,"D119 Skin Care Products, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:01,,,,https://www.elfcosmetics.com/,
glossier,"D149 Face Makeup, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:02,,,,https://www.glossier.com/,
dermablend,"D149 Face Makeup, General Promotion/Multi-Category/Corporate/Sponsorship",,,,0:05,,,,https://www.dermablend.com/,
australis,"D181 Women's Scents, Fragrances, Perfumes",,,,0:14,,,,https://www.australiscosmetics.com.au/,
boucheron,"D181 Women's Scents, Fragrances, Perfumes",,,,0:04,,,,https://www.boucheron.com/en/,
rembrandt,D211 Toothpaste & Whiteners,,,,3:03,,,,https://www.rembrandt.com/,
pola,D211 Toothpaste & Whiteners,,,,1:03,,,,https://polawhite.com.au/en-US/,
colgate,D211 Toothpaste & Whiteners,,,,0:02,,,,https://www.colgate.com/en-ca,
polident,D211 Toothpaste & Whiteners,,,,0:04,,,,https://www.mydenturecare.com/en-us/,
orajel,D211 Toothpaste & Whiteners,,,,2:02,,,,https://www.orajel.com/en,
crest,D211 Toothpaste & Whiteners,,,,3:02,,,,https://crest.com/en-us,
remington,D259 Womens Shaving Supplies General Promotion,,,,5:13,,,,http://www.remingtonproducts.com/,
cremo,D439 Mens Shaving Equipment & Supplies General Promotion,,,,4:00,,,,https://cremocompany.com/,
gillette,D439 Mens Shaving Equipment & Supplies General Promotion,,,,4:00,,,,https://gillette.ca/en-ca,
braun,D439 Mens Shaving Equipment & Supplies General Promotion,,,,5:02,,,,https://us.braun.com/en-us,
harrys,D439 Mens Shaving Equipment & Supplies General Promotion,,,,2:00,,,,https://www.harrys.com/en/ca,
